,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time,,
132,xgb,4,Autocorr,2.047548534,0.847266411,1.768618136,0.799062356,4.82358098,,
133,xgb,8,Autocorr,1.860905674,0.863239535,2.003187275,0.847103545,2.463971138,,
134,xgb,16,Autocorr,1.09233287,0.92606307,0.746236596,0.972006445,3.892047167,,
135,xgb,32,Autocorr,1.797095906,0.853722553,2.607422108,0.817242641,5.281545639,,
136,xgb,64,Autocorr,1.184637579,0.939306252,1.982006734,0.805374816,2.485384226,,
137,xgb,128,Autocorr,1.583792945,0.834531437,1.892242123,0.7913344,3.441561222,,
138,xgb,256,Autocorr,1.27423765,0.924744125,1.916141052,0.839515644,2.56399107,,
139,xgb,512,Autocorr,1.503479973,0.836599809,1.920169617,0.838519982,3.1311903,,
140,xgb,1,Fragment,1.827111801,0.858550946,1.103978955,0.938374901,3.43047905,,
141,xgb,2,Fragment,1.403120741,0.897853116,1.034798242,0.947608127,3.680233002,,
142,xgb,4,Fragment,1.742836606,0.877949479,1.311639787,0.888214892,2.135812283,,
143,xgb,8,Fragment,1.370840101,0.924425968,1.87747776,0.873952648,2.471423864,,
144,xgb,16,Fragment,0.966830009,0.940885635,0.743796201,0.966252102,2.395174742,,
145,xgb,32,Fragment,1.892264544,0.823105987,2.116870868,0.874537691,2.39965415,,
146,xgb,64,Fragment,1.168652587,0.93470755,1.29596366,0.921140271,2.034869432,,
147,xgb,128,Fragment,0.877196953,0.951061951,1.47979802,0.87437193,2.752690792,,
148,xgb,256,Fragment,1.027865479,0.948217624,1.847551378,0.830454521,5.300838947,,
149,xgb,512,Fragment,1.007713874,0.933418754,1.394782675,0.919911069,2.36943984,,
150,xgb,1,Charge,2.059027811,0.82034723,1.614438573,0.869823553,3.622714758,,
151,xgb,2,Charge,1.701049551,0.842938936,1.323186458,0.913103852,4.959380627,,
152,xgb,4,Charge,1.964543211,0.83807974,1.46937934,0.858935172,1.837288857,,
153,xgb,8,Charge,1.741929113,0.878412167,1.814207152,0.868403138,3.652011156,,
154,xgb,16,Charge,1.238693633,0.905786507,0.806681223,0.960691878,2.178045511,,
155,xgb,32,Charge,1.760781987,0.848897894,2.172719961,0.863178127,6.85723424,,
156,xgb,64,Charge,1.291988584,0.915101551,1.805990701,0.852452312,1.877318621,,
157,xgb,128,Charge,1.052913049,0.92895634,1.396534179,0.886625721,3.297009706,,
158,xgb,256,Charge,1.055015609,0.948366752,1.829704771,0.846233113,5.281214476,,
159,xgb,512,Charge,1.200152243,0.897011887,1.338138605,0.921412379,2.549247265,,
160,xgb,1,Estate,1.850749771,0.856519732,1.320871638,0.910617945,2.472385406,,
161,xgb,2,Estate,1.497945378,0.878286257,1.261691506,0.921526482,5.02646637,,
162,xgb,4,Estate,1.54533769,0.90931266,1.081775493,0.924884298,2.082530499,,
163,xgb,8,Estate,1.659121971,0.890119219,1.835560322,0.87311673,2.144248486,,
164,xgb,16,Estate,0.773321382,0.964224372,0.663305684,0.973728794,2.375749588,,
165,xgb,32,Estate,1.412611667,0.907486699,2.088958023,0.874262941,5.340385437,,
166,xgb,64,Estate,0.914322499,0.960863409,1.283363564,0.917161344,1.777748346,,
167,xgb,128,Estate,0.830277626,0.957380964,1.94052241,0.795655613,2.712405682,,
168,xgb,256,Estate,0.981892627,0.952154986,1.685600981,0.863141464,5.488926172,,
169,xgb,512,Estate,0.889148524,0.95036886,1.228489009,0.936048468,2.751577139,,
170,xgb,1,Connectivity,2.249138084,0.792436908,1.216833786,0.931143086,2.356129408,,
171,xgb,2,Connectivity,1.619935182,0.861272263,1.805533606,0.839887549,2.924647331,,
172,xgb,4,Connectivity,1.79186097,0.877893209,1.338975145,0.883900318,2.019449711,,
173,xgb,8,Connectivity,2.351351975,0.773127163,1.980201682,0.84854769,1.487177134,,
174,xgb,16,Connectivity,0.992954673,0.939891152,0.845482972,0.957294606,4.283622742,,
175,xgb,32,Connectivity,1.76100351,0.856761412,2.375087262,0.854762224,1.442875385,,
176,xgb,64,Connectivity,1.335954498,0.917702917,2.049531,0.794313692,1.441369534,,
177,xgb,128,Connectivity,1.295998479,0.894103017,1.971040926,0.774399747,1.535515547,,
178,xgb,256,Connectivity,1.192801026,0.93045015,1.4919318,0.899152401,2.497876167,,
179,xgb,512,Connectivity,1.013483321,0.933020502,1.531400053,0.897566602,1.57005477,,
180,xgb,1,Topology,3.063575825,0.606461219,2.603212623,0.657522816,3.13914752,,
181,xgb,2,Topology,2.262587965,0.711555308,3.03305175,0.548235524,4.501113176,,
182,xgb,4,Topology,2.64008178,0.715250759,3.114269962,0.42382075,2.216603518,,
183,xgb,8,Topology,2.912624904,0.63125366,3.098936156,0.611221654,3.009610891,,
184,xgb,16,Topology,2.263384723,0.690075026,1.977360232,0.759827285,1.933328152,,
185,xgb,32,Topology,2.36546955,0.728974331,2.934603653,0.767890091,1.700428724,,
186,xgb,64,Topology,2.413855131,0.712950973,2.602729695,0.663079378,6.271064281,,
187,xgb,128,Topology,2.380574037,0.633753692,2.889844983,0.531390097,2.899330139,,
188,xgb,256,Topology,2.221830986,0.744079355,2.895855824,0.609334278,2.100722313,,
189,xgb,512,Topology,1.425532293,0.85455657,1.92799353,0.843907136,3.513978004,,
190,xgb,1,Kappa,2.838118424,0.677620164,2.89132553,0.581452541,2.221094131,,
191,xgb,2,Kappa,3.330818824,0.360783537,3.120331072,0.518561702,1.535658121,,
192,xgb,4,Kappa,2.930598987,0.646515666,2.829136691,0.491727144,1.85027957,,
193,xgb,8,Kappa,3.064762368,0.615488866,3.053984921,0.630985574,1.700652599,,
194,xgb,16,Kappa,2.188209277,0.696547208,2.544127302,0.601405655,2.380550623,,
195,xgb,32,Kappa,1.965098172,0.815376363,3.510480112,0.605433276,3.436067104,,
196,xgb,64,Kappa,2.499809322,0.688743567,3.560181434,0.384654552,2.591807604,,
197,xgb,128,Kappa,2.977208851,0.412966789,2.773079573,0.597895086,1.515838623,,
198,xgb,256,Kappa,2.126372915,0.76685069,2.678071982,0.676610098,3.408633947,,
199,xgb,512,Kappa,2.649550423,0.503257256,2.72853173,0.665731729,1.764696836,,
200,xgb,1,Path,2.797109644,0.673510455,1.949346117,0.818739925,2.938779831,,
201,xgb,2,Path,1.680229966,0.842472958,2.758425967,0.620976496,3.544694901,,
202,xgb,4,Path,2.535619915,0.72706567,2.287085443,0.671854542,2.754723072,,
203,xgb,8,Path,2.707001064,0.681980258,3.215264585,0.588364867,5.792018414,,
204,xgb,16,Path,1.628955254,0.831776871,1.535979932,0.858127586,6.24554038,,
205,xgb,32,Path,2.412740952,0.707650769,2.41814756,0.856932288,4.388567448,,
206,xgb,64,Path,1.97997191,0.799375938,2.303476324,0.7356131,6.244306087,,
207,xgb,128,Path,1.854753499,0.775006029,2.467927248,0.648138881,3.418545485,,
208,xgb,256,Path,1.963646958,0.810884434,2.551218986,0.703175256,3.283354521,,
209,xgb,512,Path,1.396492381,0.85904804,1.89970858,0.836938897,2.571114302,,
210,xgb,1,InfoContent,2.542995701,0.748460107,2.350830504,0.733614286,2.879389048,,
211,xgb,2,InfoContent,1.974110589,0.777170086,3.026848274,0.537536758,3.091816902,,
212,xgb,4,InfoContent,2.459832181,0.75056927,2.761437286,0.531491677,1.830680847,,
213,xgb,8,InfoContent,2.190202161,0.801868476,2.58367328,0.741313933,1.894563437,,
214,xgb,16,InfoContent,2.037808102,0.756703783,2.131959043,0.732277788,1.394821167,,
215,xgb,32,InfoContent,2.978046503,0.564790006,3.447834522,0.644506987,1.508168221,,
216,xgb,64,InfoContent,2.107611312,0.775926022,2.143465718,0.780379806,1.821456432,,
217,xgb,128,InfoContent,2.353891337,0.644123748,2.489821966,0.643652927,1.211417913,,
218,xgb,256,InfoContent,2.358270848,0.707618433,2.72454801,0.638207063,2.128406048,,
219,xgb,512,InfoContent,1.667912053,0.798281969,2.25123684,0.79488277,1.667864084,,
220,xgb,1,moe206,1.680116599,0.881071586,0.977235416,0.951844862,3.227293968,,
221,xgb,2,moe206,1.166288632,0.92858946,1.06937986,0.946408962,3.070626497,,
222,xgb,4,moe206,1.682794725,0.887098954,1.225692409,0.902967941,2.274754047,,
223,xgb,8,moe206,1.698482676,0.883571294,2.101391868,0.838334157,2.034423351,,
224,xgb,16,moe206,0.918207018,0.950825784,0.820869442,0.960678255,4.883152008,,
225,xgb,32,moe206,1.849399859,0.832484468,2.471303737,0.821036915,2.617592812,,
226,xgb,64,moe206,1.11642993,0.943522356,1.576538662,0.899221356,1.780165672,,
227,xgb,128,moe206,0.824746901,0.957301008,1.731187492,0.825691644,4.787183762,,
228,xgb,256,moe206,1.22169599,0.928643671,1.851273722,0.842563998,6.75950861,,
229,xgb,512,moe206,1.123501775,0.910911879,1.358993847,0.919339952,2.761369467,,
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,time,n_estimators,
0,rf,1,MorganFP,1.607599698,0.891731503,1.590382791,0.877618407,2.747311115,500,
1,rf,2,MorganFP,2.542840024,0.673067376,1.659350777,0.870139054,2.829099417,500,
2,rf,4,MorganFP,1.527322791,0.902033263,1.092979639,0.924371591,2.793459654,500,
3,rf,8,MorganFP,1.23572638,0.942087082,1.345497301,0.934839659,2.77981925,500,
4,rf,16,MorganFP,0.743703428,0.965334086,0.661092091,0.975367443,2.779106617,500,
5,rf,32,MorganFP,1.534574858,0.892975759,2.068340911,0.874279091,2.812820196,500,
6,rf,64,MorganFP,1.230766161,0.92683072,1.357695666,0.905805405,2.799053907,500,
7,rf,128,MorganFP,1.114164603,0.928922364,1.621060194,0.8578401,2.811413527,500,
8,rf,256,MorganFP,0.979907018,0.953641972,1.265376339,0.925827806,2.772321939,500,
9,rf,512,MorganFP,0.790515705,0.958990217,1.285711973,0.93461645,2.807370186,500,
10,rf,1,RDkitFP,2.114122447,0.813987702,1.21055569,0.925127357,3.349174023,500,
11,rf,2,RDkitFP,1.314115991,0.904224647,1.480329084,0.896838054,3.391194582,500,
12,rf,4,RDkitFP,1.561417585,0.911547686,0.889331012,0.9546421,3.271909952,500,
13,rf,8,RDkitFP,1.57724329,0.897265967,1.979257125,0.847452598,3.420257092,500,
14,rf,16,RDkitFP,0.866111659,0.954638873,0.595543985,0.979722989,3.487212896,500,
15,rf,32,RDkitFP,1.477264809,0.900162353,2.06351844,0.876130028,3.398660898,500,
16,rf,64,RDkitFP,1.123058123,0.940550367,0.999782294,0.957112802,3.416747332,500,
17,rf,128,RDkitFP,0.958989552,0.943457389,1.485508765,0.873434642,3.266833305,500,
18,rf,256,RDkitFP,1.055468786,0.946782088,1.406732626,0.909845379,3.441056252,500,
19,rf,512,RDkitFP,0.825529996,0.95559955,1.169949234,0.940993382,3.464096546,500,
20,rf,1,AtomPairFP,2.372558814,0.764340189,1.586519146,0.878061465,3.400970221,500,
21,rf,2,AtomPairFP,2.245850532,0.717679446,2.025206006,0.810974573,3.573117018,500,
22,rf,4,AtomPairFP,2.180308831,0.813170979,1.56837558,0.849433744,3.478407145,500,
23,rf,8,AtomPairFP,2.175183885,0.806933596,2.085724771,0.841839588,3.36758256,500,
24,rf,16,AtomPairFP,1.333732562,0.906563988,1.114948482,0.944037295,3.476750374,500,
25,rf,32,AtomPairFP,2.297030985,0.741843435,2.732158274,0.77812157,3.53474474,500,
26,rf,64,AtomPairFP,1.528054793,0.888081942,1.784593477,0.871934474,3.601390839,500,
27,rf,128,AtomPairFP,1.397864501,0.888590863,1.990832279,0.775927327,3.58307004,500,
28,rf,256,AtomPairFP,1.236106229,0.936016591,2.039925626,0.817816704,3.458723068,500,
29,rf,512,AtomPairFP,0.838276162,0.950545066,1.396526586,0.911695021,3.495127439,500,
30,rf,1,TorsionFP,1.551890432,0.89945999,1.515144028,0.889192703,2.77080369,500,
31,rf,2,TorsionFP,1.514552586,0.871018854,1.034905351,0.947727356,2.827277899,500,
32,rf,4,TorsionFP,1.506848871,0.905520937,1.096752203,0.928003854,2.804388523,500,
33,rf,8,TorsionFP,1.298775168,0.933035371,1.589512703,0.90688087,2.836970568,500,
34,rf,16,TorsionFP,0.831377891,0.956048042,0.686912576,0.97220692,2.803517103,500,
35,rf,32,TorsionFP,1.520324055,0.894041283,2.156518299,0.858026224,2.790322304,500,
36,rf,64,TorsionFP,1.320525665,0.916427603,1.268822615,0.917962846,2.786288023,500,
37,rf,128,TorsionFP,1.162053237,0.923170102,1.681135563,0.84524922,2.815493822,500,
38,rf,256,TorsionFP,1.23820613,0.925974629,1.448868459,0.895567299,2.842287064,500,
39,rf,512,TorsionFP,0.739649329,0.968468005,1.050415877,0.954014179,2.807216644,500,
40,rf,1,AvalonFP,1.587230367,0.893210921,1.438245514,0.898229714,3.016038656,500,
41,rf,2,AvalonFP,1.148091114,0.922928003,1.246000008,0.923135685,3.035283804,500,
42,rf,4,AvalonFP,1.505924087,0.903096603,1.068994479,0.934905863,3.127850294,500,
43,rf,8,AvalonFP,1.078895614,0.952586405,2.051632403,0.83300236,3.155213118,500,
44,rf,16,AvalonFP,0.789568904,0.960333948,0.63125006,0.976765844,3.071681499,500,
45,rf,32,AvalonFP,1.510542578,0.891384355,1.978432182,0.885620543,3.019163847,500,
46,rf,64,AvalonFP,1.128695895,0.938259305,1.284604994,0.916742382,3.133912563,500,
47,rf,128,AvalonFP,1.097046341,0.934854546,1.498239395,0.876713492,3.018157482,500,
48,rf,256,AvalonFP,1.185715191,0.932151521,1.288548695,0.924309747,3.028654814,500,
49,rf,512,AvalonFP,0.896025849,0.949690985,1.187461195,0.942217228,3.035485506,500,
50,rf,1,EstateFP,2.393947079,0.767707705,1.52476031,0.884730096,3.025374651,500,
51,rf,2,EstateFP,2.328776172,0.726666817,1.338882787,0.909703976,2.911282301,500,
52,rf,4,EstateFP,1.500245443,0.908200936,1.28746871,0.90374624,3.000846386,500,
53,rf,8,EstateFP,2.160668528,0.80922766,1.521746099,0.916790292,2.970885992,500,
54,rf,16,EstateFP,0.765646265,0.962974687,0.691444077,0.970640639,3.004749775,500,
55,rf,32,EstateFP,1.839651273,0.831799959,1.897979,0.904818618,2.99708128,500,
56,rf,64,EstateFP,1.38834064,0.902396452,1.599382887,0.871515246,3.001460552,500,
57,rf,128,EstateFP,1.088074945,0.929253068,2.367976264,0.700933801,3.001219988,500,
58,rf,256,EstateFP,1.306414806,0.922810617,1.558567036,0.890555469,3.034692526,500,
59,rf,512,EstateFP,1.519188462,0.845302191,1.01016488,0.954687219,3.006307602,500,
60,rf,1,MACCSFP,1.63410135,0.886901507,1.530173931,0.882303306,3.060551167,500,
61,rf,2,MACCSFP,2.21142802,0.747096034,1.093601782,0.938957307,3.001691341,500,
62,rf,4,MACCSFP,1.666803145,0.884247193,1.428424077,0.869948816,2.987007856,500,
63,rf,8,MACCSFP,1.162464532,0.946041884,1.578675267,0.910818432,2.966386318,500,
64,rf,16,MACCSFP,0.821192401,0.957351131,0.784006016,0.963803861,2.995868206,500,
65,rf,32,MACCSFP,1.758118706,0.847556721,2.054291838,0.876881056,3.008764505,500,
66,rf,64,MACCSFP,1.37463332,0.90806392,1.6136263,0.866629681,3.009890079,500,
67,rf,128,MACCSFP,1.194492704,0.918244134,1.557713175,0.869434857,2.881679535,500,
68,rf,256,MACCSFP,1.19220323,0.931839042,1.987568586,0.810257917,2.881034851,500,
69,rf,512,MACCSFP,1.139435639,0.913921594,1.353600316,0.918462035,3.040997505,500,
70,rf,1,PharmacoErGFP,2.496979995,0.739764584,2.213480742,0.751626577,2.852668285,500,
